recency,history,mens,womens,newbie,visit,conversion,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,history_segment_1) $0 - $100,history_segment_2) $100 - $200,history_segment_3) $200 - $350,history_segment_4) $350 - $500,history_segment_5) $500 - $750,"history_segment_6) $750 - $1,000","history_segment_7) $1,000 +",treatment,spend
5,513.05,1,0,1,1,0,,,,,,,,,,,,,,1,0.0
1,548.54,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
10,335.22,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,263.65,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,240.79,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,118.53,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
12,356.42,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,261.06,1,0,1,1,0,,,,,,,,,,,,,,1,0.0
4,43.49,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
12,284.54,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
7,53.47,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
1,636.87,1,1,1,0,0,,,,,,,,,,,,,,1,0.0
9,139.72,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
3,167.22,0,1,1,1,0,,,,,,,,,,,,,,0,0.0
6,351.62,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
4,271.93,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,486.47,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
1,29.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
10,227.45,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
4,310.01,1,1,0,1,0,,,,,,,,,,,,,,1,0.0
3,150.81,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,424.88,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
4,360.34,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
8,104.18,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
5,463.4,1,0,0,1,0,,,,,,,,,,,,,,0,0.0
4,29.99,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,47.19,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,433.38,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
8,185.71,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
8,233.49,1,1,0,1,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
9,165.12,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
12,285.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
10,196.29,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,170.15,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,341.65,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,257.91,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,127.29,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
1,131.8,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,397.14,1,0,0,1,0,,,,,,,,,,,,,,0,0.0
5,40.06,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,57.89,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
11,51.84,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,29.99,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,141.2,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
10,123.6,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,96.76,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
9,810.42,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
12,31.94,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,117.57,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
12,276.1,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
6,150.39,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
9,37.08,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
3,92.33,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
1,564.11,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
6,61.29,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
10,320.11,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,733.32,1,1,1,1,0,,,,,,,,,,,,,,1,0.0
2,988.24,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
9,159.13,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
12,43.79,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
11,29.99,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
5,68.62,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
10,29.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
9,190.21,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
1,125.64,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,538.33,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,195.74,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
7,114.64,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,132.54,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
7,152.33,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
12,56.79,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
4,60.43,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
10,63.94,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
1,243.55,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
8,41.08,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
12,29.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,478.69,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
11,256.47,1,1,1,1,0,,,,,,,,,,,,,,1,0.0
2,275.73,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
3,518.16,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
10,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
2,29.99,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
2,259.67,1,0,0,0,0,,,,,,,,,,,,,,0,0.0
1,489.71,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
1,69.84,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
7,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
1,356.56,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
9,29.99,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
3,787.51,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
7,153.75,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
6,53.81,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
3,352.71,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
7,35.84,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
4,101.62,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
10,464.36,1,1,0,0,0,,,,,,,,,,,,,,1,0.0
1,79.86,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
10,74.22,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
9,659.84,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,147.62,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,29.99,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
4,83.99,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,41.08,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
2,123.07,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
1,248.43,1,1,0,0,0,,,,,,,,,,,,,,0,0.0
1,570.62,0,1,1,0,0,,,,,,,,,,,,,,1,0.0
10,222.42,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
2,978.6,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
8,84.08,1,0,0,1,0,,,,,,,,,,,,,,0,0.0
10,29.99,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
5,80.6,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
11,64.85,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
2,135.98,0,1,0,1,0,,,,,,,,,,,,,,1,0.0
10,248.41,1,1,0,1,1,,,,,,,,,,,,,,1,29.99
6,194.13,1,0,1,0,0,,,,,,,,,,,,,,1,0.0
5,171.17,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
4,117.89,1,0,0,1,1,,,,,,,,,,,,,,1,56.86
1,192.04,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
5,419.88,0,1,0,1,0,,,,,,,,,,,,,,0,0.0
6,343.8,1,1,1,0,0,,,,,,,,,,,,,,0,0.0
3,546.68,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
6,69.87,0,1,1,0,0,,,,,,,,,,,,,,0,0.0
1,201.16,1,0,0,0,0,,,,,,,,,,,,,,1,0.0
10,201.24,0,1,0,0,0,,,,,,,,,,,,,,0,0.0
2,240.87,0,1,0,0,0,,,,,,,,,,,,,,1,0.0
5,140.22,1,0,1,0,0,,,,,,,,,,,,,,0,0.0
